Datetime,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,7.617112903225807,7.255571428571429,6.997774193548388,5.242755555555556,2.753903225806451,1.3327555555555544,1.147118279569891,1.2102688172043,2.231999999999999,4.955075268817204,6.3419333333333325,7.859763440860216
1,7.458763440860215,7.087202380952381,6.8364301075268825,5.0760555555555555,2.6812258064516117,1.293599999999999,1.1513870967741924,1.2076774193548376,2.111133333333332,4.77379569892473,6.1751,7.674010752688173
2,7.436419354838709,7.075857142857143,6.793086021505377,4.905488888888889,2.6140537634408596,1.243199999999999,1.1516236559139774,1.208064516129031,2.0092666666666656,4.628989247311828,6.167877777777777,7.670096774193549
3,7.427720430107526,7.065904761904762,6.820633333333333,4.877588888888889,2.6089569892473112,1.2302888888888879,1.1530107526881708,1.2163010752688161,2.014033333333332,4.677260416666666,6.158366666666666,7.671666666666668
4,7.433720430107527,7.078821428571429,6.826088888888889,4.856988888888889,2.62216129032258,1.2290777777777768,1.160053763440859,1.2252688172043,2.021744444444443,4.6238924731182784,6.169544444444444,7.671623655913979
5,7.427204301075269,7.076214285714285,6.793645161290323,4.842633333333334,2.618193548387096,1.22931111111111,1.1652365591397837,1.224279569892472,2.02041111111111,4.636698924731182,6.1600111111111095,7.671516129032259
6,7.425655913978495,7.087630952380953,6.800752688172044,4.792477777777778,2.6080967741935472,1.2187333333333323,1.1640215053763427,1.213301075268816,2.0259888888888877,4.652010752688171,6.170211111111111,7.665161290322581
7,7.428333333333334,7.081130952380953,6.796784946236559,4.756,2.594677419354838,1.2037999999999989,1.1622043010752676,1.2092473118279559,2.02821111111111,4.665397849462365,6.175544444444443,7.6551075268817215
8,7.4399354838709675,7.088416666666666,6.789193548387097,4.6902,2.5573978494623644,1.1845777777777766,1.1547956989247299,1.206516129032257,2.0418555555555544,4.679698924731182,6.1764222222222225,7.6492795698924745
9,7.469462365591398,7.101464285714286,6.7648817204301075,4.624122222222223,2.509010752688171,1.1686888888888878,1.145763440860214,1.1938279569892463,2.0575777777777766,4.694462365591397,6.193388888888888,7.659387096774195
10,7.4933118279569895,7.115,6.716204301075269,4.529211111111111,2.4545698924731174,1.166099999999999,1.1463978494623646,1.1741075268817194,2.0662999999999987,4.711021505376343,6.187344444444444,7.667301075268819
11,7.500150537634408,7.127011904761905,6.69063440860215,4.435999999999999,2.427946236559139,1.1633666666666655,1.159537634408601,1.1679139784946226,2.057522222222221,4.704333333333333,6.201899999999999,7.675666666666668
12,7.472215053763441,7.109571428571428,6.683989247311827,4.4012,2.4202580645161285,1.1704555555555545,1.1503655913978483,1.1714301075268805,2.042955555555554,4.68374193548387,6.174788888888888,7.671967741935485
13,7.443118279569892,7.0942380952380955,6.699967741935485,4.4094999999999995,2.4334086021505366,1.1780333333333322,1.1236129032258053,1.164032258064515,2.0212777777777764,4.682548387096774,6.181144444444444,7.666000000000001
14,7.411118279569893,7.070761904761905,6.723505376344086,4.4653888888888895,2.457387096774193,1.1841222222222212,1.110559139784945,1.1603763440860202,2.00071111111111,4.68584946236559,6.177599999999999,7.6655376344086035
15,7.413075268817204,7.0686904761904765,6.72505376344086,4.496255555555555,2.483172043010752,1.17881111111111,1.117494623655913,1.1620322580645148,1.9881888888888877,4.693548387096773,6.243366666666666,7.846666666666668
16,7.529580645161291,7.173071428571428,6.810763440860216,4.5177555555555555,2.487473118279569,1.1642888888888878,1.1226021505376331,1.163010752688171,1.9883444444444431,4.72274193548387,6.400822222222222,8.031172043010754
17,7.679451612903225,7.330440476190476,6.945139784946236,4.531988888888889,2.480172043010752,1.1712444444444434,1.1210860215053753,1.1734086021505366,1.9944999999999988,4.816569892473118,6.603066666666666,8.225698924731184
18,7.8348387096774195,7.518238095238096,7.104247311827956,4.548788888888889,2.474440860215053,1.1794888888888877,1.1267204301075258,1.1927526881720418,1.993233333333332,4.964720430107526,6.754099999999999,8.238698924731183
19,7.8795053763440865,7.596428571428571,7.185150537634408,4.583355555555555,2.514709677419354,1.20831111111111,1.1266989247311816,1.2099247311827945,2.0649777777777767,5.101333333333333,6.7924999999999995,8.261344086021506
20,7.902956989247312,7.632821428571428,7.200440860215054,4.647355555555555,2.5818064516129025,1.2443666666666655,1.1252473118279558,1.2148279569892462,2.189733333333332,5.203806451612903,6.764899999999999,8.268408602150538
21,7.893870967741935,7.621202380952381,7.213817204301075,4.796,2.6622688172043003,1.2951777777777767,1.1336021505376332,1.2067204301075256,2.33301111111111,5.26221505376344,6.734466666666666,8.270376344086023
22,7.887290322580645,7.6092619047619054,7.232075268817204,5.014266666666667,2.705150537634408,1.3257333333333323,1.147763440860214,1.2147526881720419,2.403544444444443,5.294118279569892,6.698011111111111,8.256354838709678
23,7.748935483870968,7.4423571428571424,7.128086021505377,5.190244444444445,2.72679569892473,1.3452999999999988,1.1556236559139772,1.2126451612903213,2.4127888888888878,5.256172043010753,6.537877777777777,8.061790322580647
