Datetime,Winter,Spring,Summer,Autumn
0,7.588212962962963,4.995485507246377,1.2289311594202887,4.514564102564102
1,7.4173074074074075,4.862271739130435,1.216728260869564,4.357963369963369
2,7.404733333333334,4.769413043478261,1.2005036231884048,4.272670329670329
3,7.399181481481482,4.745322344322344,1.1995362318840568,4.291786231884058
4,7.405251851851852,4.744827838827838,1.2045362318840567,4.275597069597069
5,7.4021592592592595,4.7505,1.2060253623188395,4.2763772893772884
6,7.402988888888889,4.733137681159421,1.1984673913043467,4.2867948717948705
7,7.398425925925926,4.715384057971014,1.1916195652173902,4.293846153846153
8,7.402681481481482,4.678807971014493,1.1819347826086943,4.303505494505494
9,7.420392592592592,4.632764492753623,1.1694347826086946,4.3193113553113545
10,7.435544444444445,4.56706884057971,1.162159420289854,4.325835164835164
11,7.444518518518518,4.519086956521739,1.1636086956521727,4.325461538461537
12,7.428196296296297,4.502909420289854,1.164014492753622,4.304706959706959
13,7.411348148148148,4.515431159420289,1.154978260869564,4.299249084249083
14,7.392862962962963,4.549666666666666,1.1513333333333322,4.292424908424907
15,7.455281481481482,4.568942028985506,1.152496376811593,4.312600732600732
16,7.591437037037037,4.606282608695651,1.1498115942028975,4.3745054945054935
17,7.759022222222223,4.653742753623188,1.155072463768115,4.475172161172161
18,7.875448148148148,4.710902173913043,1.166177536231883,4.5750146520146515
19,7.922959259259259,4.763003623188405,1.181355072463767,4.657864468864468
20,7.944792592592592,4.811634057971014,1.1942753623188396,4.724802197802197
21,7.938725925925926,4.891724637681159,1.210927536231883,4.7819010989010975
22,7.927914814814815,4.983499999999999,1.22836956521739,4.804003663003662
23,7.761316666666667,5.01313768115942,1.2366884057971002,4.7413333333333325
